PressureThresholdModel,0.0,[205.95700073242188]
PressureThresholdModel,0.0001,[205.77699279785156]
PressureThresholdModel,0.0002,[214.03199768066406]
PressureThresholdModel,0.00030000000000000003,[200.13900756835938]
PressureThresholdModel,0.0004,[226.25599670410156]
PressureThresholdModel,0.0005,[229.55299377441406]
PressureThresholdModel,0.0006000000000000001,[228.3979949951172]
PressureThresholdModel,0.0007,[240.9980010986328]
PressureThresholdModel,0.0008,[228.20399475097656]
PressureThresholdModel,0.0009000000000000001,[231.4550018310547]
PressureThresholdModel,0.001,[241.71299743652344]
PressureThresholdModel,0.0011,[239.25599670410156]
PressureThresholdModel,0.0012000000000000001,[247.6439971923828]
PressureThresholdModel,0.0013000000000000002,[258.3370056152344]
PressureThresholdModel,0.0014,[245.07200622558594]
PressureThresholdModel,0.0015,[267.00201416015625]
PressureThresholdModel,0.0016,[272.3710021972656]
PressureThresholdModel,0.0017000000000000001,[302.9020080566406]
PressureThresholdModel,0.0018000000000000002,[268.8219909667969]
PressureThresholdModel,0.0019,[287.23199462890625]
PressureThresholdModel,0.002,[287.2799987792969]
PressureThresholdModel,0.0021000000000000003,[287.9729919433594]
PressureThresholdModel,0.0022,[310.0899963378906]
PressureThresholdModel,0.0023,[296.9100036621094]
PressureThresholdModel,0.0024000000000000002,[315.7349853515625]
PressureThresholdModel,0.0025,[302.1029968261719]
PressureThresholdModel,0.0026000000000000003,[311.97698974609375]
PressureThresholdModel,0.0027,[329.4389953613281]
PressureThresholdModel,0.0028,[329.29400634765625]
PressureThresholdModel,0.0029000000000000002,[345.302001953125]
PressureThresholdModel,0.003,[350.42401123046875]
PressureThresholdModel,0.0031000000000000003,[358.4440002441406]
PressureThresholdModel,0.0032,[353.3760070800781]
PressureThresholdModel,0.0033,[351.77398681640625]
PressureThresholdModel,0.0034000000000000002,[358.9909973144531]
PressureThresholdModel,0.0035,[371.9930114746094]
PressureThresholdModel,0.0036000000000000003,[389.510009765625]
PressureThresholdModel,0.0037,[380.3030090332031]
PressureThresholdModel,0.0038,[396.28399658203125]
PressureThresholdModel,0.0039000000000000003,[398.50799560546875]
PressureThresholdModel,0.004,[400.64599609375]
PressureThresholdModel,0.0041,[408.44000244140625]
PressureThresholdModel,0.004200000000000001,[417.7650146484375]
PressureThresholdModel,0.0043,[439.8550109863281]
PressureThresholdModel,0.0044,[440.92999267578125]
PressureThresholdModel,0.0045000000000000005,[407.9070129394531]
PressureThresholdModel,0.0046,[493.4809875488281]
PressureThresholdModel,0.0047,[469.2040100097656]
PressureThresholdModel,0.0048000000000000004,[453.1730041503906]
PressureThresholdModel,0.0049,[482.99798583984375]
PressureThresholdModel,0.005,[476.8810119628906]
PressureThresholdModel,0.0051,[481.0450134277344]
PressureThresholdModel,0.005200000000000001,[510.11700439453125]
PressureThresholdModel,0.0053,[488.18798828125]
PressureThresholdModel,0.0054,[517.0330200195312]
PressureThresholdModel,0.0055000000000000005,[505.4590148925781]
PressureThresholdModel,0.0056,[542.322998046875]
PressureThresholdModel,0.0057,[526.1799926757812]
PressureThresholdModel,0.0058000000000000005,[507.24200439453125]
PressureThresholdModel,0.0059,[525.9520263671875]
PressureThresholdModel,0.006,[519.9210205078125]
PressureThresholdModel,0.0061,[558.3560180664062]
PressureThresholdModel,0.006200000000000001,[564.3350219726562]
PressureThresholdModel,0.0063,[555.0700073242188]
PressureThresholdModel,0.0064,[618.8419799804688]
PressureThresholdModel,0.006500000000000001,[586.2429809570312]
PressureThresholdModel,0.0066,[569.0079956054688]
PressureThresholdModel,0.0067,[593.5570068359375]
PressureThresholdModel,0.0068000000000000005,[627.1270141601562]
PressureThresholdModel,0.006900000000000001,[618.427978515625]
PressureThresholdModel,0.007,[599.8820190429688]
PressureThresholdModel,0.0071,[629.9249877929688]
PressureThresholdModel,0.007200000000000001,[634.06298828125]
PressureThresholdModel,0.0073,[646.3709716796875]
PressureThresholdModel,0.0074,[650.906982421875]
PressureThresholdModel,0.007500000000000001,[637.3309936523438]
PressureThresholdModel,0.0076,[645.614990234375]
PressureThresholdModel,0.0077,[644.8270263671875]
PressureThresholdModel,0.0078000000000000005,[717.8790283203125]
PressureThresholdModel,0.0079,[687.6799926757812]
PressureThresholdModel,0.008,[701.344970703125]
PressureThresholdModel,0.0081,[693.625]
PressureThresholdModel,0.0082,[681.2319946289062]
PressureThresholdModel,0.0083,[693.3040161132812]
PressureThresholdModel,0.008400000000000001,[740.0230102539062]
PressureThresholdModel,0.0085,[731.969970703125]
PressureThresholdModel,0.0086,[719.5280151367188]
PressureThresholdModel,0.008700000000000001,[677.2059936523438]
PressureThresholdModel,0.0088,[746.781982421875]
PressureThresholdModel,0.0089,[750.218994140625]
PressureThresholdModel,0.009000000000000001,[721.6119995117188]
PressureThresholdModel,0.0091,[752.5800170898438]
PressureThresholdModel,0.0092,[765.5919799804688]
PressureThresholdModel,0.009300000000000001,[791.4749755859375]
PressureThresholdModel,0.0094,[800.0980224609375]
PressureThresholdModel,0.0095,[776.5440063476562]
PressureThresholdModel,0.009600000000000001,[822.0029907226562]
PressureThresholdModel,0.0097,[775.4080200195312]
PressureThresholdModel,0.0098,[786.4910278320312]
PressureThresholdModel,0.0099,[822.6909790039062]
PressureThresholdModel,0.01,[810.5640258789062]
PressureThresholdModel,0.010100000000000001,[888.7529907226562]
PressureThresholdModel,0.0102,[865.1510009765625]
PressureThresholdModel,0.0103,[822.2630004882812]
PressureThresholdModel,0.010400000000000001,[872.3159790039062]
PressureThresholdModel,0.0105,[880.7100219726562]
